date;annee;mois;nom_mois;jour_semaine;numero_jour_semaine;semaine_iso;appels_presentes;appels_traites;appels_abandonnes;delai_moyen_reponse_sec;niveau_service;niveau_service_pct;taux_abandon;taux_traitement
2025-12-31;2025;2025-12;Décembre;Mercredi;3;1;732;731;1;3,1586867;0,9795081;97,95081;0,001366120218579235;0,9986338797814208
2025-12-30;2025;2025-12;Décembre;Mardi;2;1;913;883;22;40,0124575;0,8119469;81,19469000000001;0,024096385542168676;0,9671412924424972
2025-12-29;2025;2025-12;Décembre;Lundi;1;1;939;880;49;76,6431818;0,6655879;66,55879;0,05218317358892439;0,9371671991480298
2025-12-28;2025;2025-12;Décembre;Dimanche;7;52;180;167;12;24,0838323;0,8342857;83,42857000000001;0,06666666666666667;0,9277777777777778
2025-12-27;2025;2025-12;Décembre;Samedi;6;52;253;250;2;13,348;0,9083665;90,83664999999999;0,007905138339920948;0,9881422924901185
2025-12-26;2025;2025-12;Décembre;Vendredi;5;52;336;312;24;32,8782051;0,8030769;80,30769;0,07142857142857142;0,9285714285714286
2025-12-25;2025;2025-12;Décembre;Jeudi;4;52;129;125;4;11,608;0,9285714;92,85714;0,031007751937984496;0,9689922480620154
2025-12-24;2025;2025-12;Décembre;Mercredi;3;52;594;593;1;4,708263;0,9780775;97,80775;0,0016835016835016834;0,9983164983164983
2025-12-23;2025;2025-12;Décembre;Mardi;2;52;966;895;65;64,9810055;0,7320675;73,20675;0,06728778467908902;0,9265010351966874
2025-12-22;2025;2025-12;Décembre;Lundi;1;52;1046;904;125;199,9679203;0,4885572;48,855720000000005;0,11950286806883365;0,864244741873805
2025-12-21;2025;2025-12;Décembre;Dimanche;7;51;174;168;5;8,9464285;0,9360465;93,60465;0,028735632183908046;0,9655172413793104
2025-12-20;2025;2025-12;Décembre;Samedi;6;51;271;268;3;4,5559701;0,9666666;96,66666000000001;0,01107011070110701;0,988929889298893
2025-12-19;2025;2025-12;Décembre;Vendredi;5;51;1032;1001;24;32,1528471;0,8215686;82,15686;0,023255813953488372;0,9699612403100775
2025-12-18;2025;2025-12;Décembre;Jeudi;4;51;1139;1096;35;43,9708029;0,7616487;76,16487;0,030728709394205442;0,9622475856014048
2025-12-17;2025;2025-12;Décembre;Mercredi;3;51;1311;1137;158;128,5664028;0,5497259;54,97259;0,12051868802440885;0,8672768878718535
